Timestamp,Transaction ID,Traffic Volume (Mbps),Number of Active Users,Network Slice ID,Requested Bandwidth (Mbps),Actual Bandwidth Allocated (Mbps),Latency (ms),Congestion Level,Queue Length (Packets),Transaction Success (1/0)
2025-01-28 16:56:58,TX00281,216,273662,Slice-2,264,264,220,Low,172,0
2025-01-09 08:18:17,TX00282,651,878078,Slice-2,693,675,373,Low,263,0
2025-01-09 13:59:06,TX00283,490,244729,Slice-3,512,496,463,High,90,0
2025-01-21 02:57:24,TX00284,497,5908,Slice-2,537,518,281,Low,70,1
2025-01-12 16:53:09,TX00285,170,239699,Slice-3,188,175,411,Low,351,0
2025-01-30 13:44:46,TX00286,363,443852,Slice-2,397,390,86,Low,455,1
2025-01-04 06:05:21,TX00287,294,265565,Slice-2,343,340,10,Low,466,1
2025-01-27 01:34:33,TX00288,550,929225,Slice-3,593,592,372,Low,260,0
2025-01-01 21:16:03,TX00289,566,252492,Slice-2,584,570,115,High,38,0
2025-01-12 00:13:51,TX00290,906,91482,Slice-3,944,931,317,Low,3,0
2025-01-13 23:50:21,TX00291,549,238710,Slice-1,576,576,50,Low,385,1
2025-01-06 07:24:30,TX00292,505,939231,Slice-3,546,542,169,Low,229,1
2025-01-11 13:36:55,TX00293,342,112122,Slice-1,376,370,476,Low,218,0
2025-01-15 17:36:04,TX00294,37,397411,Slice-2,84,71,306,High,109,0
2025-01-01 08:54:48,TX00295,293,669825,Slice-2,305,305,186,Low,440,1
2025-01-02 06:36:20,TX00296,967,859268,Slice-1,977,973,248,Low,479,1
2025-01-19 21:23:02,TX00297,878,417812,Slice-1,910,908,25,Low,36,1
2025-01-26 17:38:01,TX00298,248,593795,Slice-2,277,264,87,High,18,0
2025-01-07 19:36:20,TX00299,266,192390,Slice-1,315,314,329,High,145,0
2025-01-23 10:12:50,TX00300,991,155444,Slice-2,1014,1014,359,Low,84,0
2025-01-23 07:29:12,TX00301,515,258241,Slice-1,564,548,177,High,190,0
2025-01-08 11:20:06,TX00302,372,33430,Slice-1,383,370,362,Medium,420,0
2025-01-23 05:12:13,TX00303,715,173424,Slice-1,748,732,436,Low,300,0
2025-01-23 22:04:56,TX00304,941,750390,Slice-3,973,956,110,Low,302,1
2025-01-13 19:55:16,TX00305,24,396588,Slice-2,59,42,306,Medium,96,0
2025-01-13 12:13:04,TX00306,897,168635,Slice-2,935,935,154,Medium,429,1
2025-01-18 10:14:12,TX00307,534,162858,Slice-1,564,550,80,Medium,248,1
2025-01-22 07:49:13,TX00308,859,564218,Slice-2,880,876,291,High,346,0
2025-01-20 15:13:35,TX00309,813,963672,Slice-2,827,820,89,High,357,0
2025-01-25 05:42:06,TX00310,303,772097,Slice-1,317,310,63,Low,267,1
2025-01-08 16:32:27,TX00311,734,974530,Slice-3,770,761,54,Low,158,1
2025-01-04 13:46:00,TX00312,608,793882,Slice-1,618,601,250,Low,264,1
2025-01-28 08:06:03,TX00313,116,8582,Slice-1,143,141,216,Low,427,1
2025-01-11 03:55:06,TX00314,869,907956,Slice-2,913,896,231,Medium,250,1
2025-01-27 21:17:55,TX00315,500,893049,Slice-1,520,507,439,Low,256,0
2025-01-15 06:53:34,TX00316,190,84632,Slice-1,200,188,29,Low,110,1
2025-01-04 09:57:07,TX00317,199,59220,Slice-2,222,215,301,Low,302,0
2025-01-23 11:51:44,TX00318,475,789532,Slice-1,507,505,93,Low,79,1
2025-01-22 14:44:25,TX00319,921,64048,Slice-1,941,939,2,Medium,184,0
2025-01-26 08:44:58,TX00320,92,492696,Slice-2,138,135,377,Low,248,0
2025-01-25 22:31:17,TX00321,491,659500,Slice-1,537,529,442,High,4,0
2025-01-09 23:33:52,TX00322,872,791003,Slice-1,909,908,12,High,214,0
2025-01-22 00:47:48,TX00323,252,744393,Slice-2,282,280,241,Low,130,1
2025-01-26 21:55:36,TX00324,417,194383,Slice-2,446,435,14,High,98,0
2025-01-25 13:02:07,TX00325,31,263554,Slice-1,64,61,481,High,207,0
2025-01-27 17:31:06,TX00326,80,147397,Slice-2,102,93,72,Low,339,1
2025-01-27 02:30:26,TX00327,890,473979,Slice-3,921,914,329,Medium,499,0
